Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
PRKACB	ENST00000370689.2	protein kinase, cAMP-dependent, catalytic, beta 	344	1	0	1	0	0	0	0	0	0	hsa-miR-18b-5p	0.0312	0.1957	0.7048	-0.30	-0.30	0.27	2007
THBS1	ENST00000260356.5	thrombospondin 1 	46844	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0159	0.1087	0.5315	-0.30	-0.30	0.81	2011
STK4	ENST00000372801.1	serine/threonine kinase 4 	276	1	0	1	0	0	0	0	0	2	hsa-miR-18b-5p	0.0343	0.2187	0.8736	-0.30	-0.30	0.73	2011
CADM2	ENST00000383699.3	cell adhesion molecule 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0318	0.1969	0.6763	-0.30	-0.30	0.44	2009, 2011
UNG	ENST00000242576.2	uracil-DNA glycosylase 	2812	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0108	0.0760	0.4147	-0.30	-0.30	0.26	2011
FER	ENST00000281092.4	fer (fps/fes related) tyrosine kinase 	665	1	0	1	0	3	0	0	3	3	hsa-miR-18a-5p	0.0528	0.3382	1.4813	-0.30	-0.30	0.46	NULL
THBD	ENST00000377103.2	thrombomodulin 	38	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0241	0.1546	0.5790	-0.30	-0.30	< 0.1	2011
SYNCRIP	ENST00000355238.6	synaptotagmin binding, cytoplasmic RNA interacting protein 	4864	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0386	0.2311	0.7309	-0.30	-0.30	0.48	2011
ENC1	ENST00000302351.4	ectodermal-neural cortex 1 (with BTB domain) 	57	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0273	0.1748	0.6685	-0.30	-0.30	0.42	2009, 2011
RUNX1	ENST00000344691.4	runt-related transcription factor 1 	182	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0172	0.1089	0.3967	-0.29	-0.48	0.84	2011
DIP2C	ENST00000280886.6	DIP2 disco-interacting protein 2 homolog C (Drosophila) 	359	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0318	0.2003	0.7448	-0.29	-0.29	0.45	2007, 2009, 2011
SPIN1	ENST00000375859.3	spindlin 1 	686	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0171	0.1144	0.4948	-0.29	-0.29	0.30	NULL
NR3C1	ENST00000394464.2	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor) 	682	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0340	0.2186	0.9121	-0.29	-0.34	0.68	2005, 2007, 2009, 2011
ABTB2	ENST00000435224.2	ankyrin repeat and BTB (POZ) domain containing 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0206	0.1347	0.5394	-0.29	-0.29	0.40	2009, 2011
TAOK1	ENST00000261716.3	TAO kinase 1 	164	1	1	0	0	2	0	1	1	1	hsa-miR-18a-5p	0.0765	0.4353	1.4178	-0.29	-0.31	0.81	2011
NACC1	ENST00000292431.4	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing 	337	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.1152	0.4823	0.9024	-0.28	-0.31	0.83	2009, 2011
ZCCHC24	ENST00000372336.3	zinc finger, CCHC domain containing 24 	359	1	0	1	0	1	0	0	1	3	hsa-miR-18a-5p	0.0233	0.1540	0.6794	-0.28	-0.32	0.25	2011
PSD3	ENST00000327040.8	pleckstrin and Sec7 domain containing 3 	133	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0227	0.1473	0.5823	-0.28	-0.28	0.69	2005, 2007, 2009, 2011
KLHL15	ENST00000328046.8	kelch-like family member 15 	42	2	0	2	0	0	0	0	0	0	hsa-miR-18a-5p	0.0131	0.0910	0.4626	-0.28	-0.43	0.44	2011
FAM73A	ENST00000370791.3	family with sequence similarity 73, member A 	837	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0164	0.1110	0.5215	-0.28	-0.28	0.19	2009
MAPK1IP1L	ENST00000395468.4	mitogen-activated protein kinase 1 interacting protein 1-like 	4002	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0127	0.0874	0.4398	-0.28	-0.36	0.12	2011
CHRM3	ENST00000255380.4	cholinergic receptor, muscarinic 3 	47	1	0	1	0	1	0	1	0	0	hsa-miR-18a-5p	0.0147	0.1043	0.6048	-0.28	-0.35	0.19	NULL
FNDC3B	ENST00000336824.4	fibronectin type III domain containing 3B 	509	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0202	0.1424	0.8019	-0.28	-0.28	0.51	2009, 2011
RAB11FIP2	ENST00000355624.3	RAB11 family interacting protein 2 (class I) 	449	1	1	0	0	1	0	0	1	0	hsa-miR-18a-5p	0.0316	0.1940	0.6680	-0.28	-0.32	0.65	2005, 2007, 2009, 2011
CSRNP3	ENST00000314499.7	cysteine-serine-rich nuclear protein 3 	24	1	0	1	0	1	0	1	0	2	hsa-miR-18a-5p	0.0388	0.2553	1.1570	-0.28	-0.28	0.82	2007, 2009, 2011
TRIM2	ENST00000338700.5	tripartite motif containing 2 	22	1	1	0	0	0	0	0	0	2	hsa-miR-18a-5p	0.0646	0.3464	0.9052	-0.27	-0.27	0.28	2005, 2007, 2009, 2011
DDI2	ENST00000480945.1	DNA-damage inducible 1 homolog 2 (S. cerevisiae) 	357	1	1	0	0	1	0	1	0	1	hsa-miR-18a-5p	0.0214	0.1397	0.5533	-0.27	-0.33	< 0.1	NULL
C5orf30	ENST00000319933.2	chromosome 5 open reading frame 30 	889	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0095	0.0663	0.3494	-0.27	-0.39	0.23	2007, 2009, 2011
CTDSPL	ENST00000443503.2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like 	372	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0398	0.2238	0.6069	-0.27	-0.34	0.52	2005, 2007, 2009, 2011
SMARCC2	ENST00000394023.3	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2 	298	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0270	0.1730	0.6904	-0.26	-0.35	0.46	2011
ONECUT3	ENST00000382349.4	one cut homeobox 3 	5	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0141	0.0978	0.5113	-0.26	-0.26	0.79	NULL
ZNF704	ENST00000327835.3	zinc finger protein 704 	124	1	1	0	0	2	0	1	1	0	hsa-miR-18a-5p	0.0436	0.2655	0.8948	-0.26	-0.38	0.83	2007, 2009, 2011
RASA2	ENST00000286364.3	RAS p21 protein activator 2 	170	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0226	0.1477	0.6070	-0.26	-0.26	0.20	NULL
C9orf114	ENST00000361256.5	chromosome 9 open reading frame 114 	488	1	0	1	0	1	0	0	1	2	hsa-miR-18a-5p	0.0094	0.0669	0.3847	-0.26	-0.28	< 0.1	NULL
IGF1	ENST00000337514.6	insulin-like growth factor 1 (somatomedin C) 	19	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0087	0.0622	0.3638	-0.26	-0.30	0.26	2005, 2007, 2009, 2011
BEND3	ENST00000369042.1	BEN domain containing 3 	13	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0275	0.1772	0.7063	-0.26	-0.26	0.78	2009, 2011
PLEKHA6	ENST00000272203.3	pleckstrin homology domain containing, family A member 6 	45	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0210	0.1379	0.5645	-0.26	-0.26	0.23	2011
CAMKK2	ENST00000538733.1	calcium/calmodulin-dependent protein kinase kinase 2, beta 	1157	1	0	1	0	1	0	1	0	0	hsa-miR-18a-5p	0.0248	0.1647	0.7224	-0.25	-0.26	0.43	2009, 2011
TPM3	ENST00000368531.2	tropomyosin 3 	669	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0115	0.0829	0.5191	-0.25	-0.26	0.19	2011
KDM2A	ENST00000398645.2	lysine (K)-specific demethylase 2A 	729	2	1	0	1	0	0	0	0	1	hsa-miR-18a-5p	0.0323	0.2095	0.8823	-0.25	-0.25	0.14	2007, 2011
TLL1	ENST00000061240.2	tolloid-like 1 	247	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0177	0.1207	0.5820	-0.25	-0.25	0.21	2011
TEX2	ENST00000258991.3	testis expressed 2 	127	1	0	1	0	1*	0	0	0	0	hsa-miR-18a-5p	0.0133	0.0936	0.5113	-0.24	-0.26	0.36	2007, 2009, 2011
MESP1	ENST00000300057.4	mesoderm posterior 1 homolog (mouse) 	303	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0043	0.0306	0.1892	-0.24	-0.24	0.21	2005, 2007
ZCCHC4	ENST00000302874.4	zinc finger, CCHC domain containing 4 	199	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0058	0.0410	0.2401	-0.24	-0.24	0.35	2009, 2011
EXPH5	ENST00000265843.4	exophilin 5 	49	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0286	0.1776	0.6368	-0.24	-0.30	0.47	2011
IGF2BP2	ENST00000382199.2	insulin-like growth factor 2 mRNA binding protein 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0175	0.1166	0.4937	-0.24	-0.24	0.44	2007, 2009, 2011
PDE1B	ENST00000243052.3	phosphodiesterase 1B, calmodulin-dependent 	6	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0166	0.1116	0.4964	-0.23	-0.23	0.23	2011
CACNB3	ENST00000301050.2	calcium channel, voltage-dependent, beta 3 subunit 	41	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0095	0.0665	0.3547	-0.23	-0.23	0.28	2011
TNRC6B	ENST00000335727.9	trinucleotide repeat containing 6B 	69	1	0	1	0	1	0	1	0	3	hsa-miR-18a-5p	0.0389	0.2546	1.0608	-0.23	-0.29	0.48	2007, 2009, 2011
KIT	ENST00000288135.5	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog 	329	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0070	0.0497	0.2845	-0.23	-0.23	0.71	2011
MBNL1	ENST00000357472.3	muscleblind-like splicing regulator 1 	135	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0170	0.1131	0.4852	-0.23	-0.23	0.60	2009, 2011
KLF7	ENST00000423015.1	Kruppel-like factor 7 (ubiquitous) 	737	1	0	0	1	1	0	0	1	1	hsa-miR-18a-5p	0.0088	0.0638	0.4218	-0.22	-0.22	< 0.1	NULL
PLXNC1	ENST00000258526.4	plexin C1 	47	1	0	1	0	1	0	1	0	0	hsa-miR-18a-5p	0.0119	0.0848	0.4966	-0.22	-0.22	0.35	NULL
HOMER1	ENST00000508576.1	homer homolog 1 (Drosophila) 	394	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0080	0.0562	0.3019	-0.22	-0.25	0.28	NULL
NCOA1	ENST00000405141.1	nuclear receptor coactivator 1 	200	1	1	0	0	0	0	0	0	3	hsa-miR-18a-5p	0.0515	0.2522	0.6411	-0.22	-0.43	0.76	2005, 2007, 2009, 2011
ATP13A1	ENST00000291503.5	ATPase type 13A1 	69	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0031	0.0227	0.1472	-0.22	-0.22	0.24	2009, 2011
ATXN2L	ENST00000336783.4	ataxin 2-like 	5	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0277	0.1775	0.6836	-0.21	-0.21	0.31	2009
YPEL5	ENST00000379520.3	yippee-like 5 (Drosophila) 	307	1	0	0	1	1	0	0	1	0	hsa-miR-18a-5p	0.0076	0.0540	0.3058	-0.21	-0.34	< 0.1	2005, 2007
INO80D	ENST00000403263.1	INO80 complex subunit D 	5	1	0	1	0	0	0	0	0	3	hsa-miR-18a-5p	0.0475	0.2903	1.0776	-0.21	-0.21	0.52	2009, 2011
USP24	ENST00000294383.6	ubiquitin specific peptidase 24 	306	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0144	0.0983	0.4739	-0.21	-0.21	0.33	2009, 2011
AMIGO1	ENST00000369864.4	adhesion molecule with Ig-like domain 1 	167	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0231	0.1500	0.5878	-0.21	-0.21	0.22	NULL
DUSP16	ENST00000298573.4	dual specificity phosphatase 16 	444	1	0	0	1	1	0	1	0	0	hsa-miR-18a-5p	0.0119	0.0833	0.4647	-0.21	-0.35	< 0.1	2005, 2007, 2009
ATXN1L	ENST00000427980.2	ataxin 1-like 	12	1	1	0	0	0	0	0	0	2	hsa-miR-18a-5p	0.0641	0.3571	1.0671	-0.21	-0.21	0.83	2011
C1orf21	ENST00000235307.6	chromosome 1 open reading frame 21 	935	1	0	0	1	1	0	1	0	4	hsa-miR-18a-5p	0.0074	0.0529	0.3200	-0.21	-0.35	< 0.1	2009, 2011
CLIP3	ENST00000360535.4	CAP-GLY domain containing linker protein 3 	9	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0097	0.0690	0.4029	-0.21	-0.21	0.21	2007, 2011
FBXO28	ENST00000424254.2	F-box protein 28 	461	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0089	0.0620	0.3313	-0.20	-0.41	< 0.1	2011
WNT8B	ENST00000343737.5	wingless-type MMTV integration site family, member 8B 	25	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0115	0.0824	0.5101	-0.20	-0.26	0.20	NULL
JAKMIP3	ENST00000298622.4	Janus kinase and microtubule interacting protein 3 	5	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0123	0.0847	0.4193	-0.20	-0.20	0.39	2011
HIF1AN	ENST00000299163.6	hypoxia inducible factor 1, alpha subunit inhibitor 	1545	1	0	1	0	1	0	0	1	3	hsa-miR-18a-5p	0.0110	0.0777	0.4337	-0.20	-0.22	0.23	NULL
EHMT1	ENST00000460843.1	euchromatic histone-lysine N-methyltransferase 1 	22	1	0	1	0	0	0	0	0	3	hsa-miR-18a-5p	0.0123	0.0885	0.5544	-0.20	-0.20	0.36	2005, 2007, 2009, 2011
ERBB2	ENST00000584450.1	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 	511	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0147	0.1015	0.5156	-0.20	-0.25	< 0.1	NULL
RCOR1	ENST00000262241.6	REST corepressor 1 	403	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0356	0.2120	0.6919	-0.20	-0.27	0.40	2009, 2011
FOSL2	ENST00000379619.1	FOS-like antigen 2 	2255	1	0	1	0	1	0	1	0	7	hsa-miR-18a-5p	0.0121	0.0842	0.4382	-0.20	-0.28	0.62	2009, 2011
SNRK	ENST00000429705.2	SNF related kinase 	153	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0067	0.0482	0.2989	-0.20	-0.20	0.28	2011
DOCK4	ENST00000428084.1	dedicator of cytokinesis 4 	211	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0262	0.1676	0.6463	-0.20	-0.20	0.42	2007, 2011
ATM	ENST00000452508.2	ataxia telangiectasia mutated 	26	1	1	0	0	0	0	0	0	2	hsa-miR-18a-5p	0.0415	0.2205	0.5905	-0.20	-0.35	0.69	2011
PHF15	ENST00000402835.1	PHD finger protein 15 	387	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0087	0.0617	0.3564	-0.19	-0.19	< 0.1	NULL
LPP	ENST00000312675.4	LIM domain containing preferred translocation partner in lipoma 	1894	1	0	1	0	1	0	0	1	3	hsa-miR-18a-5p	0.0299	0.2052	1.0650	-0.19	-0.19	0.57	2011
ATXN1	ENST00000244769.4	ataxin 1 	106	1	1	0	0	0	0	0	0	3	hsa-miR-18a-5p	0.0338	0.2027	0.7023	-0.19	-0.28	0.83	2005, 2007, 2009, 2011
TENM3	ENST00000511685.1	teneurin transmembrane protein 3 	30	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0101	0.0713	0.4095	-0.19	-0.19	0.48	2007, 2009, 2011
CNR1	ENST00000362094.5	cannabinoid receptor 1 (brain) 	40	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0036	0.0264	0.1833	-0.19	-0.19	< 0.1	NULL
FZD3	ENST00000240093.3	frizzled family receptor 3 	192	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0390	0.2333	0.7866	-0.19	-0.23	< 0.1	NULL
SLC35A3	ENST00000465289.1	solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3 	191	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0240	0.1397	0.4071	-0.19	-0.36	0.26	NULL
ATP8A1	ENST00000381668.5	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	48	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0152	0.1047	0.5289	-0.18	-0.18	0.68	2009, 2011
ZFP69B	ENST00000484445.1	ZFP69 zinc finger protein B 	176	2	0	0	2	0	0	0	0	1	hsa-miR-18a-5p	0.0099	0.0713	0.4570	-0.18	-0.18	< 0.1	NULL
SLC12A6	ENST00000397707.2	solute carrier family 12 (potassium/chloride transporter), member 6 	17	1	1	0	0	0	0	0	0	0	hsa-miR-18b-5p	0.0275	0.1614	0.5319	-0.18	-0.36	0.84	2011
MFRP	ENST00000555262.1	membrane frizzled-related protein 	5	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0087	0.0613	0.3274	-0.18	-0.18	< 0.1	NULL
ORC2	ENST00000234296.2	origin recognition complex, subunit 2 	381	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0089	0.0628	0.3603	-0.18	-0.23	0.23	NULL
RTN2	ENST00000245923.4	reticulon 2 	254	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0038	0.0276	0.1739	-0.18	-0.18	0.31	NULL
SLC2A13	ENST00000280871.4	solute carrier family 2 (facilitated glucose transporter), member 13 	47	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0099	0.0697	0.3861	-0.18	-0.23	0.25	NULL
DPP10	ENST00000410059.1	dipeptidyl-peptidase 10 (non-functional) 	5	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0144	0.1008	0.5451	-0.17	-0.17	0.32	2005, 2007, 2011
ZC3H12C	ENST00000278590.3	zinc finger CCCH-type containing 12C 	150	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0311	0.1900	0.6393	-0.17	-0.20	0.71	2009, 2011
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0085	0.0601	0.3424	-0.17	-0.17	0.36	2005, 2007, 2009, 2011
MTF1	ENST00000373036.4	metal-regulatory transcription factor 1 	98	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0151	0.1033	0.4990	-0.17	-0.17	0.76	2007, 2009, 2011
UBE2G1	ENST00000396981.2	ubiquitin-conjugating enzyme E2G 1 	5620	1	0	0	1	0	0	0	0	1	hsa-miR-18a-5p	0.0113	0.0814	0.5113	-0.17	-0.17	< 0.1	2005, 2007, 2009, 2011
SH3KBP1	ENST00000397821.3	SH3-domain kinase binding protein 1 	109	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0118	0.0793	0.3629	-0.17	-0.27	0.45	2011
NACC2	ENST00000371753.1	NACC family member 2, BEN and BTB (POZ) domain containing 	172	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0194	0.1233	0.4549	-0.17	-0.24	0.77	2011
STRIP2	ENST00000249344.2	striatin interacting protein 2 	87	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0097	0.0672	0.3324	-0.16	-0.20	0.27	NULL
DAB1	ENST00000371236.2	Dab, reelin signal transducer, homolog 1 (Drosophila) 	490	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0060	0.0423	0.2315	-0.16	-0.25	0.47	NULL
GINS2	ENST00000253462.3	GINS complex subunit 2 (Psf2 homolog) 	136	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0192	0.1146	0.3761	-0.16	-0.40	0.84	NULL
ONECUT1	ENST00000560699.2	one cut homeobox 1 	10	1	0	0	1	1	0	1	0	1	hsa-miR-18a-5p	0.0070	0.0492	0.2768	-0.16	-0.35	< 0.1	NULL
NREP	ENST00000379671.3	neuronal regeneration related protein 	409	1	0	0	1	0	0	0	0	2	hsa-miR-18a-5p	0.0025	0.0182	0.1280	-0.15	-0.18	< 0.1	2005, 2007, 2009, 2011
MYO1C	ENST00000359786.5	myosin IC 	1073	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0061	0.0431	0.2521	-0.15	-0.16	0.27	2009, 2011
ANKRD13C	ENST00000370944.4	ankyrin repeat domain 13C 	369	1	1	0	0	1	0	0	1	0	hsa-miR-18a-5p	0.0173	0.1037	0.3374	-0.15	-0.41	0.84	2009, 2011
SATB1	ENST00000338745.6	SATB homeobox 1 	312	1	0	0	1	0	0	0	0	1	hsa-miR-18a-5p	0.0080	0.0563	0.3108	-0.15	-0.18	< 0.1	2005, 2007, 2009, 2011
MRPL27	ENST00000442592.3	mitochondrial ribosomal protein L27 	503	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0014	0.0104	0.0717	-0.15	-0.15	< 0.1	NULL
PAPPA	ENST00000328252.3	pregnancy-associated plasma protein A, pappalysin 1 	350	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0106	0.0760	0.4610	-0.15	-0.17	0.64	2005, 2007, 2009, 2011
CEP85L	ENST00000368491.3	centrosomal protein 85kDa-like 	14	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0179	0.1105	0.3824	-0.15	-0.30	0.75	2011
ANKRD50	ENST00000504087.1	ankyrin repeat domain 50 	152	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0166	0.1104	0.5005	-0.14	-0.26	0.72	2007, 2009, 2011
GNAS	ENST00000371075.3	GNAS complex locus 	314	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0064	0.0452	0.2456	-0.14	-0.19	< 0.1	NULL
PHC3	ENST00000495893.2	polyhomeotic homolog 3 (Drosophila) 	366	2	1	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0366	0.1695	0.4187	-0.13	-0.62	0.89	2009, 2011
EPB41L1	ENST00000441639.1	erythrocyte membrane protein band 4.1-like 1 	369	1	1	0	0	1	0	0	1	2	hsa-miR-18a-5p	0.0366	0.1681	0.3886	-0.13	-0.47	0.84	2005, 2007, 2009, 2011
ZNF394	ENST00000426306.2	zinc finger protein 394 	77	1	0	0	1	0	0	0	0	0	hsa-miR-18a-5p	0.0042	0.0304	0.1970	-0.13	-0.13	< 0.1	NULL
EPHA7	ENST00000369303.4	EPH receptor A7 	213	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0136	0.0946	0.5077	-0.13	-0.31	0.22	NULL
SIM2	ENST00000290399.6	single-minded homolog 2 (Drosophila) 	108	2	0	2	0	0	0	0	0	2	hsa-miR-18a-5p	0.0094	0.0634	0.2985	-0.13	-0.50	0.67	2005, 2007, 2009, 2011
NOTCH2	ENST00000256646.2	notch 2 	734	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0259	0.1760	0.8690	-0.12	-0.12	0.40	2009, 2011
SGPL1	ENST00000373202.3	sphingosine-1-phosphate lyase 1 	105	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0090	0.0626	0.3228	-0.12	-0.15	0.20	NULL
SON	ENST00000290239.6	SON DNA binding protein 	161	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0120	0.0840	0.4469	-0.12	-0.12	0.21	2005, 2007
SLC6A6	ENST00000454876.2	solute carrier family 6 (neurotransmitter transporter), member 6 	280	1	0	0	1	0	0	0	0	0	hsa-miR-18a-5p	0.0084	0.0600	0.3613	-0.12	-0.12	< 0.1	2009, 2011
UBP1	ENST00000283629.3	upstream binding protein 1 (LBP-1a) 	1418	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0052	0.0377	0.2398	-0.12	-0.12	0.19	NULL
SULT4A1	ENST00000330884.4	sulfotransferase family 4A, member 1 	25	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0051	0.0370	0.2405	-0.11	-0.13	0.22	NULL
FAF1	ENST00000396153.2	Fas (TNFRSF6) associated factor 1 	428	1	0	1	0	0	0	0	0	4	hsa-miR-18a-5p	0.0105	0.0739	0.4234	-0.11	-0.29	0.43	NULL
KIF3B	ENST00000375712.3	kinesin family member 3B 	182	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0162	0.1153	0.6765	-0.11	-0.11	0.22	2011
GLG1	ENST00000422840.2	golgi glycoprotein 1 	2175	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0096	0.0672	0.3540	-0.11	-0.11	0.23	NULL
PURB	ENST00000395699.2	purine-rich element binding protein B 	497	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0093	0.0651	0.3531	-0.10	-0.23	0.20	2005, 2007
ACACB	ENST00000543201.1	acetyl-CoA carboxylase beta 	59	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0080	0.0573	0.3598	-0.10	-0.10	< 0.1	NULL
KCTD16	ENST00000507359.3	potassium channel tetramerization domain containing 16 	36	1	0	0	1	0	0	0	0	0	hsa-miR-18a-5p	0.0060	0.0431	0.2735	-0.10	-0.10	< 0.1	2005, 2007, 2009, 2011
ENDOD1	ENST00000278505.4	endonuclease domain containing 1 	100	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0049	0.0346	0.1952	-0.10	-0.14	0.26	2011
WNT9A	ENST00000272164.5	wingless-type MMTV integration site family, member 9A 	73	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0087	0.0617	0.3518	-0.09	-0.09	0.25	NULL
ANKRD52	ENST00000267116.7	ankyrin repeat domain 52 	2913	1	0	1	0	0	0	0	0	3	hsa-miR-18a-5p	0.0269	0.1743	0.7046	-0.09	-0.09	0.20	2009, 2011
NAV1	ENST00000295624.6	neuron navigator 1 	702	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0104	0.0752	0.4880	-0.09	-0.09	0.25	2005, 2007, 2009, 2011
SAR1A	ENST00000373242.2	SAR1 homolog A (S. cerevisiae) 	253	1	0	1	0	2	0	2	0	1	hsa-miR-18a-5p	0.0072	0.0465	0.1873	-0.08	-0.70	0.33	2007, 2011
CCDC88A	ENST00000336838.6	coiled-coil domain containing 88A 	141	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0080	0.0529	0.2231	-0.08	-0.18	0.44	2005, 2007, 2009, 2011
